timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W]
2026/09/19 02:01:41.203, 92 %, 3311 MiB, 270.88 W
2026/09/19 02:01:46.207, 91 %, 3311 MiB, 265.87 W
2026/09/19 02:01:51.207, 91 %, 3311 MiB, 261.22 W
2026/09/19 02:01:56.208, 91 %, 3311 MiB, 262.70 W
2026/09/19 02:02:01.209, 90 %, 3311 MiB, 275.47 W
2026/09/19 02:02:06.210, 86 %, 3311 MiB, 237.20 W
2026/09/19 02:02:11.211, 86 %, 2198 MiB, 156.01 W
2026/09/19 02:02:16.211, 86 %, 2198 MiB, 179.45 W
2026/09/19 02:02:21.212, 86 %, 2198 MiB, 172.95 W
