model,accuracy,macro_f1,roc_auc,mcc,selected_epoch,epochs_run,training_minutes,source_run,embedding_dim,max_length,batch_size,initial_learning_rate,dropout,training_cpu,training_gpu
maxpool_mlp,0.932,0.9319992759147275,0.9815935166204987,0.8640184006764469,5,6,1.6172038718359545,runs/part-b-full,128,384,128,0.0015,0.3,AMD EPYC 7543 32-Core Processor,NVIDIA GeForce RTX 5090
bilstm,0.9601052631578947,0.9601033375084563,0.9932552063711912,0.9202993688101679,10,12,28.10574806785056,runs/part-b-tuning/bilstm_long_schedule_control,128,384,128,0.001,0.3,AMD EPYC 7543 32-Core Processor,NVIDIA GeForce RTX 5090
dilated_cnn,0.9580263157894737,0.9580261522833148,0.9921975623268698,0.9160597684989896,6,6,3.8112794477511973,runs/part-b-full,128,384,128,0.0008,0.3,AMD EPYC 7543 32-Core Processor,NVIDIA GeForce RTX 5090
