scope,direction,metric,value,status,details,checkpoint_sha256,data_manifest_sha256
test,monet_to_photo,lpips_cycle,0.23620524033904075,computed,"{""count"": 30}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,monet_to_photo,content_cosine,0.9019160509109497,computed,"{""count"": 30}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,monet_to_photo,cycle_l1,0.12110819096366564,computed,"{""count"": 30, ""pixel_range"": ""[-1,1]""}",d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,monet_to_photo,source_count,30,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,monet_to_photo,generated_count,30,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,monet_to_photo,real_reference_count,702,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,monet_to_photo,inference_seconds,0.08136582199949771,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
test,monet_to_photo,inference_images_per_second,368.7051794325288,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,both,completed_updates,168720,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,both,completed_epoch_fraction,30.0,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
training,both,training_seconds,7046.761060626828,computed,{},d8b37673ce3cbda3397740863fcde33126eb029a9cc5a7c7cdde9dcf064d9b7e,9e178ac6d5959bc62fe711de582d592d6fbeb18bdb5eaaaf6cb210e0e01e3aa6
